method,game,seed,agent_steps,return
CoRe-WM old,alien,4,16047,280.0
CoRe-WM old,alien,4,16720,300.0
CoRe-WM old,alien,4,17651,230.0
CoRe-WM old,alien,4,18489,250.0
CoRe-WM old,alien,4,19320,280.0
CoRe-WM old,alien,4,20387,320.0
CoRe-WM old,alien,4,21224,310.0
CoRe-WM old,alien,4,21821,320.0
CoRe-WM old,alien,4,22433,300.0
CoRe-WM old,alien,4,23509,350.0
CoRe-WM old,alien,4,24079,180.0
CoRe-WM old,alien,4,24454,340.0
CoRe-WM old,alien,4,25142,450.0
CoRe-WM old,alien,4,25724,430.0
CoRe-WM old,alien,4,26514,410.0
CoRe-WM old,alien,4,26964,280.0
CoRe-WM old,alien,4,27305,30.0
CoRe-WM old,alien,4,27642,30.0
CoRe-WM old,alien,4,28063,190.0
CoRe-WM old,alien,4,28685,260.0
CoRe-WM old,alien,4,29354,410.0
CoRe-WM old,alien,4,29949,390.0
CoRe-WM old,alien,4,30603,210.0
CoRe-WM old,alien,4,31045,210.0
CoRe-WM old,alien,4,31462,380.0
CoRe-WM old,alien,4,31999,250.0
CoRe-WM old,alien,4,32681,230.0
CoRe-WM old,alien,4,33253,240.0
CoRe-WM old,alien,4,33800,230.0
CoRe-WM old,alien,4,34141,260.0
CoRe-WM old,alien,4,34598,300.0
CoRe-WM old,alien,4,35104,220.0
CoRe-WM old,alien,4,35604,310.0
CoRe-WM old,alien,4,36352,250.0
CoRe-WM old,alien,4,36936,390.0
CoRe-WM old,alien,4,37568,300.0
CoRe-WM old,alien,4,38182,310.0
CoRe-WM old,alien,4,38745,270.0
CoRe-WM old,alien,4,39219,210.0
CoRe-WM old,alien,4,39780,380.0
CoRe-WM old,alien,4,40404,270.0
CoRe-WM old,alien,4,40896,250.0
CoRe-WM old,alien,4,41430,260.0
CoRe-WM old,alien,4,41817,250.0
CoRe-WM old,alien,4,42276,290.0
CoRe-WM old,alien,4,42619,270.0
CoRe-WM old,alien,4,43261,510.0
CoRe-WM old,alien,4,43818,340.0
CoRe-WM old,alien,4,44533,470.0
CoRe-WM old,alien,4,45164,380.0
CoRe-WM old,alien,4,45906,920.0
CoRe-WM old,alien,4,46391,190.0
CoRe-WM old,alien,4,47102,370.0
CoRe-WM old,alien,4,47663,340.0
CoRe-WM old,alien,4,48327,340.0
CoRe-WM old,alien,4,48938,370.0
CoRe-WM old,alien,4,49625,370.0
CoRe-WM old,alien,4,50202,240.0
CoRe-WM old,alien,4,50762,310.0
CoRe-WM old,alien,4,51299,320.0
CoRe-WM old,alien,4,51959,370.0
CoRe-WM old,alien,4,52534,380.0
CoRe-WM old,alien,4,53046,910.0
CoRe-WM old,alien,4,53603,300.0
CoRe-WM old,alien,4,54192,350.0
CoRe-WM old,alien,4,54942,360.0
CoRe-WM old,alien,4,55414,270.0
CoRe-WM old,alien,4,55787,280.0
CoRe-WM old,alien,4,56420,390.0
CoRe-WM old,alien,4,57007,350.0
CoRe-WM old,alien,4,57532,300.0
CoRe-WM old,alien,4,58221,510.0
CoRe-WM old,alien,4,58718,410.0
CoRe-WM old,alien,4,59511,440.0
CoRe-WM old,alien,4,60287,400.0
CoRe-WM old,alien,4,61091,400.0
CoRe-WM old,alien,4,61794,360.0
CoRe-WM old,alien,4,62370,360.0
CoRe-WM old,alien,4,62855,410.0
CoRe-WM old,alien,4,63565,390.0
CoRe-WM old,alien,4,64294,380.0
CoRe-WM old,alien,4,64839,350.0
CoRe-WM old,alien,4,65260,360.0
CoRe-WM old,alien,4,66150,520.0
CoRe-WM old,alien,4,66850,420.0
CoRe-WM old,alien,4,67335,310.0
CoRe-WM old,alien,4,68246,440.0
CoRe-WM old,alien,4,68610,310.0
CoRe-WM old,alien,4,69354,560.0
CoRe-WM old,alien,4,69892,440.0
CoRe-WM old,alien,4,70815,490.0
CoRe-WM old,alien,4,71388,470.0
CoRe-WM old,alien,4,72105,430.0
CoRe-WM old,alien,4,72709,420.0
CoRe-WM old,alien,4,73291,950.0
CoRe-WM old,alien,4,74095,470.0
CoRe-WM old,alien,4,74603,410.0
CoRe-WM old,alien,4,75206,320.0
CoRe-WM old,alien,4,75992,380.0
CoRe-WM old,alien,4,76393,300.0
CoRe-WM old,alien,4,77043,250.0
CoRe-WM old,alien,4,77534,340.0
CoRe-WM old,alien,4,78000,350.0
CoRe-WM old,alien,4,78515,350.0
CoRe-WM old,alien,4,79138,440.0
CoRe-WM old,alien,4,79773,550.0
CoRe-WM old,alien,4,80310,450.0
CoRe-WM old,alien,4,80923,440.0
CoRe-WM old,alien,4,81859,600.0
CoRe-WM old,alien,4,82453,360.0
CoRe-WM old,alien,4,83358,470.0
CoRe-WM old,alien,4,83971,360.0
CoRe-WM old,alien,4,84479,350.0
CoRe-WM old,alien,4,85112,430.0
CoRe-WM old,alien,4,85676,320.0
CoRe-WM old,alien,4,86382,520.0
CoRe-WM old,alien,4,86980,1110.0
CoRe-WM old,alien,4,87661,450.0
CoRe-WM old,alien,4,88310,410.0
CoRe-WM old,alien,4,88748,370.0
CoRe-WM old,alien,4,89149,360.0
CoRe-WM old,alien,4,89799,390.0
CoRe-WM old,alien,4,90169,310.0
CoRe-WM old,alien,4,90590,350.0
CoRe-WM old,alien,4,91320,430.0
CoRe-WM old,alien,4,91874,340.0
CoRe-WM old,alien,4,92768,460.0
CoRe-WM old,alien,4,93166,380.0
