method,game,seed,agent_steps,return
Reborn + Harmony,asterix,0,53356,450.0
Reborn + Harmony,asterix,0,53569,250.0
Reborn + Harmony,asterix,0,53870,400.0
Reborn + Harmony,asterix,0,54266,500.0
Reborn + Harmony,asterix,0,54710,300.0
Reborn + Harmony,asterix,0,55068,500.0
Reborn + Harmony,asterix,0,55446,200.0
Reborn + Harmony,asterix,0,55848,450.0
Reborn + Harmony,asterix,0,56142,450.0
Reborn + Harmony,asterix,0,56664,750.0
Reborn + Harmony,asterix,0,57023,350.0
Reborn + Harmony,asterix,0,57390,600.0
Reborn + Harmony,asterix,0,57784,400.0
Reborn + Harmony,asterix,0,58279,600.0
Reborn + Harmony,asterix,0,58675,300.0
Reborn + Harmony,asterix,0,59165,650.0
Reborn + Harmony,asterix,0,59562,600.0
Reborn + Harmony,asterix,0,59927,550.0
Reborn + Harmony,asterix,0,60133,350.0
Reborn + Harmony,asterix,0,60728,650.0
Reborn + Harmony,asterix,0,61208,600.0
Reborn + Harmony,asterix,0,61419,250.0
Reborn + Harmony,asterix,0,61664,350.0
Reborn + Harmony,asterix,0,61907,300.0
Reborn + Harmony,asterix,0,62253,600.0
Reborn + Harmony,asterix,0,62455,250.0
Reborn + Harmony,asterix,0,62757,200.0
Reborn + Harmony,asterix,0,63085,250.0
Reborn + Harmony,asterix,0,63445,250.0
Reborn + Harmony,asterix,0,63724,300.0
Reborn + Harmony,asterix,0,64037,400.0
Reborn + Harmony,asterix,0,64274,400.0
Reborn + Harmony,asterix,0,64636,450.0
Reborn + Harmony,asterix,0,65091,400.0
Reborn + Harmony,asterix,0,65432,350.0
Reborn + Harmony,asterix,0,65671,350.0
Reborn + Harmony,asterix,0,66132,500.0
Reborn + Harmony,asterix,0,66395,300.0
